Airports,Arrival _DOM,Departure_DOM,Total_DOM,Arrival_INT,Departure_INT,Total_INT,Arrival_TOTAL,Departure_TOTAL,Total_TOTAL,Latitude,Longitude
KLIA,"7,386,376","7,277,305","14,663,681","16,349,885","16,170,982","32,520,867","23,736,261","23,448,287","47,184,548",2.744491035,101.7015569
PULAU PINANG,"1,784,274","1,800,230","3,584,504","1,589,582","1,605,933","3,195,515","3,373,856","3,406,163","6,780,019",5.296453433,100.2752078
KOTA KINABALU,"2,805,747","2,797,032","5,602,779","718,604","720,788","1,439,392","3,524,351","3,517,820","7,042,171",5.923317926,116.051149
KUCHING,"2,483,368","2,477,517","4,960,885","179,544","191,294","370,838","2,662,912","2,668,811","5,331,723",1.487389751,110.3416342
LANGKAWI,"1,138,630","1,144,047","2,282,677","108,701","110,416","219,117","1,247,331","1,254,463","2,501,794",6.34239444,99.73089096
JOHOR BAHRU,"1,241,671","1,296,760","2,538,431","234,756","236,831","471,587","1,476,427","1,533,591","3,010,018",1.636392263,103.6681026
KOTA BHARU,"788,837","794,451","1,583,288",-,-,-,"788,837","794,451","1,583,288",6.170213356,102.2934957
IPOH,"66,309","65,867","132,176","183,252","201,732","384,984","249,561","267,599","517,160",4.570119165,101.0986131
KUALA TERENGGANU,"293,477","301,619","595,096",-,-,-,"293,477","301,619","595,096",5.378836614,103.1050411
ALOR SETAR,"289,258","299,513","588,771",-,-,-,"289,258","299,513","588,771",6.191954952,100.3952533
MELAKA,"5,020","5,181","10,201","7,068","6,220","13,288","12,088","11,401","23,489",2.255344439,102.25089
SUBANG,"565,259","561,481","1,126,740","126,588","123,478","250,066","691,847","684,959","1,376,806",3.128959932,101.5521023
KUANTAN,"70,935","71,085","142,020","15,613","18,467","34,080","86,548","89,552","176,100",3.780859574,103.2150534
TIOMAN,"2,331","2,455","4,786",86,92,178,"2,417","2,547","4,964",2.820209983,104.1594629
REDANG,"3,393","3,704","7,097",1,1,2,"3,394","3,705","7,099",5.76522476,103.0050255
LABUAN,"235,293","233,866","469,159",-,-,-,"235,293","233,866","469,159",5.298868358,115.2475627
LAHAD DATU,"69,016","73,586","142,602",-,-,-,"69,016","73,586","142,602",5.080682494,118.3012281
SANDAKAN,"446,292","451,724","898,016",8,-,8,"446,300","451,724","898,024",5.89726016,118.0619352
TAWAU,"853,345","858,085","1,711,430",5,5,10,"853,350","858,090","1,711,440",4.314004258,118.1143457
BINTULU,"435,035","437,278","872,313",131,33,164,"435,166","437,311","872,477",3.123870104,113.0239089
MIRI,"1,047,776","1,054,120","2,101,896","46,263","51,506","97,769","1,094,039","1,105,626","2,199,665",4.323163369,113.9874298
SIBU,"750,716","749,892","1,500,608","21,398","26,596","47,994","772,114","776,488","1,548,602",2.256281014,111.9860904
MULU,"36,326","35,824","72,150",-,-,-,"36,326","35,824","72,150",4.049277008,114.8110347
LIMBANG,"41,899","41,796","83,695",-,-,-,"41,899","41,796","83,695",4.8100208,115.0079063
MUKAH,"29,928","30,712","60,640",-,-,-,"29,928","30,712","60,640",2.888236987,112.0438743
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
